Temples,Country,Points,Change,Maha Big Books,Big Books,Medium Books,Small Books,Mags,BTG Subs,Full Sets,Latitude,Longitude,Year
New,Delhi,Ind1026729.85,0,439394,8671,48641,384109,189231,0,1170,28.5558863,77.2539484,2013
Mayapur,Ind,652368.45,-16,253606,41382,68377,239749,96487,0,3591,23.4239515,88.3888704,2013
Mumbai-Juhu,Ind,648957.25,23,300349,8236,23227,113159,1200,0,1365,19.1130769,72.8262841,2013
Mumbai-Chowpatt,Ind,405280.05,15,176288,9887,7809,144185,23780,257,482,40.2671941,-86.1349019,2013
New,Delhi,Punj.,Ind,353950.50,-34,149041,6912,8421,122104,95688,2448,0,28.5558863,77.2539484,2013
Moscow,Rus,302728.75,32,111837,41181,47106,57283,0,0,0,55.755826,37.6173,2013
Vrindavan,Ind,274630.00,42,70129,78317,0,224220,0,0,558,27.5724445,77.6777441,2013
Pune,Ind,267161.90,17,121125,5605,4380,46248,40310,781,168,18.5201045,73.8794015,2013
Tirupati,Ind,231082.90,-17,82816,10357,7415,151164,81500,2866,0,13.647016,79.4138576,2013
Ahmedabad,Ind,190251.50,-22,92516,0,2874,9110,4030,580,185,23.0269849,72.5074278,2013
Los,Angeles,USA,171042.65,18,55760,29850,34854,42847,15339,0,27,34.02527630000001,-118.3971843,2013
Surat,Ind,132249.00,-4,48668,2621,1768,25126,60676,10031,284,21.247382,72.7916082,2013
Krasnodar,Rus,107843.00,na,18695,28712,62214,42536,0,0,0,45.03926740000001,38.987221,2013
RupanugaVedicCo,USA,93868.80,-14,36766,12854,6713,11504,12503,0,0,39.0321435,-94.56672979999999,2013
Salem,Ind,90668.90,-20,40742,2845,1342,6424,12699,1470,518,11.7093308,78.0981054,2013
Silicon,Valley,USA,83442.25,29,40349,596,572,7373,190,0,350,13.010473,77.551074,2013
Chandigarh,Ind,78470.75,-12,36070,3662,3048,4579,0,0,0,30.734255,76.761045,2013
St.,Petersburg,Rus,67641.50,54,23801,10673,10761,15944,0,0,0,16.2993518,80.4131511,2013
Kolkata,Ind,64113.85,-36,31203,505,860,2867,561,0,13,22.5238452,88.32745720000001,2013
Bhaktivedanta,Eng,60470.00,-8,19588,2890,33711,6194,0,0,45,19.1130769,72.8262841,2013
VV,Nagar,Ind,59402.50,-45,2526,1617,880,8724,120270,20045,47,22.570385,72.96347899999999,2013
Catania,TSKP,Ita,58633.50,-73,18051,0,45063,0,0,0,0,nodata-lat,nodata-lon,2013
Simhacalam,NJN,Ger,57039.00,999,24159,5122,7198,0,0,0,0,48.7316584,13.6908547,2013
Chennai,Ind,48549.20,na,19465,2685,3560,15662,10012,125,145,12.9060595,80.241614,2013
Cueramaro,Mex,43423.00,na,2791,7868,17599,84694,0,0,0,21.0190145,-101.2573586,2013
Sydney-North,Aus,40590.25,na,18068,1597,2838,5603,375,0,19,-33.8386344,151.2071142,2013
Nizhny,Novgorod,Rus,40540.25,-28,16260,6486,2029,2079,0,0,0,56.2965039,43.9360589,2013
Madurai,Ind,39779.10,93,13776,112,100,37666,23104,178,0,9.9268646,78.114384,2013
Habarovsk,Rus,36983.65,46,10315,9086,8705,11533,319,0,0,48.5027313,135.0662599,2013
Coimbatore,Ind,36446.25,17,14174,1816,937,13125,16738,373,0,11.0404339,77.0284562,2013
Kiev,Ukr,35737.75,-20,10562,3473,15051,14461,0,0,0,50.4501,30.5234,2013
Mexico,City,Mex,34595.50,-39,2638,3849,13353,75176,0,0,0,19.4129014,-99.1859023,2013
Nairobi,Ken,34430.45,29,6675,7260,2989,49051,632,0,25,-1.2920659,36.8219462,2013
Toronto,Can,34165.25,-9,6951,3718,14230,35663,965,95,42,43.6769305,-79.3973269,2013
Denver,USA,34051.80,45,12355,3947,3123,14778,1388,0,52,39.7392358,-104.990251,2013
London-Soho,Eng,32189.50,-19,11056,1525,3755,26692,20,0,0,51.515823,-0.1326938,2013
San,Diego,USA,31330.50,7,5710,14810,7578,5246,0,0,0,32.795926,-117.2506437,2013
Minsk,Bel,29310.25,74,7793,6395,8827,11663,0,0,0,53.90453979999999,27.5615244,2013
Perm,Rus,27890.00,83,9426,2644,7379,10818,0,0,0,58.02968129999999,56.2667916,2013
Centro,Goura,Ni,Bra,27871.00,na,493,14360,8101,33898,0,0,0,27.7840013,85.3564899,2013
Kanyakumari,Ind,25885.20,-1,11042,2812,254,1412,2869,117,24,14.7189305,77.6043846,2013
Bali,Ind,25195.10,na,10263,685,2069,9714,5211,0,0,-8.700452,115.241134,2013
Chicago,USA,24254.85,52,7079,5405,3776,11017,496,0,0,42.00934580000001,-87.6730144,2013
Novosibirsk,Rus,23932.00,137,7868,5427,3440,4196,0,0,0,55.00835259999999,82.9357327,2013
Washington,D.C.,USA,22815.25,20,5234,921,2771,32205,19851,1,46,45.5286088,-122.9893517,2013
